what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304991151523
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304991151524
started,bundle,org.eclipse.egit.core,0.11.3,"org.eclipse.egit.core",1304991151524
started,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1304991151567
started,bundle,org.eclipse.jgit,0.11.3,"org.eclipse.jgit",1304991151567
os,sysinfo,,,"win32",1304991151570
arch,sysinfo,,,"x86",1304991151570
ws,sysinfo,,,"win32",1304991151570
locale,sysinfo,,,"en_US",1304991151570
processors,sysinfo,,,"4",1304991151570
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1304991151570
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1304991151570
java.specification.name,sysinfo,,,"Java Platform API Specification",1304991151570
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304991151570
java.specification.version,sysinfo,,,"1.6",1304991151570
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304991151570
java.version,sysinfo,,,"1.6.0_16",1304991151570
java.vm.info,sysinfo,,,"mixed mode",1304991151570
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1304991151570
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304991151570
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304991151570
java.vm.specification.version,sysinfo,,,"1.0",1304991151570
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304991151570
java.vm.version,sysinfo,,,"14.2-b01",1304991151570
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1304991154961
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1304991160019
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1304991161517
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ResourceNavigator",1304991161552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1304991161554
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304991169747
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304991169754
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1304991171053
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1304991171054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991171216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991173291
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1304991173300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991175963
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991184007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991184018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991187763
started,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1304991191298
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991194591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991205304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991223340
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304991233520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991313418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991355412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1304991355428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991357271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304991471989
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1305039961052
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1305039961054
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1305039961055
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1305039961073
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1305039961086
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1305039961110
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1305039961110
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1305039961111
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1305039961157
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1305039961158
